Название товара,Цена товара,Опимание товара
Обои VOG Collection 1.06х10.05м 31115-24,1 095.00 руб,"Бренд:VOG Collection
Дизайн:50007-50008
Способ производства: Вспененный винил
Основа: Флизелиновая
Цвета: Розовый
Ширина:1.06
Длина:10.05
Раппорт:0"
"Обои VILIA 1.06х0,53м 1347-42",435.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Клей обойный МАСТЕР универсальный 200гр. 13310,92.00 руб,"Белорусский завод ""Березакерамика"" специализируется на производстве керамической белорусской плитки для кухонь и ванных комнат.

С 1967 года белорусский завод керамической плитки ""Березакерамика"" выпускает облицовочную плитку высокого качества. Белорусская керамическая плитка, выпускаемая заводом, делится на 2 вида: настенная и напольная плитка. По цвету и рисунку керамическая плитка из Белоруссии для ванной бывает тонированной, однородной, а бывает с рисунком, складывающимся иногда из нескольких плиток разного размера. Керамическая плитка из Белоруссии обладает высокой устойчивостью к истиранию и ударопрочности. Напольная облицовочная плитка из Белоруссии для ванных комнат имеет нескользящую поверхность. Белорусская керамическая плитка идеально подходит для полов с подогревом, она хорошо прогревается и медленно остывает, отдает тепло, напоминая этим изразцовую печь."
"Обои Elysium 1,06х10.05м 87303",1 270.00 руб,"Раппорт/смещение: 64/0
Горячее тиснение, 1,06 х 10м
E782ХХ, Е783ХХ ""Эбру"" НОВИНКА. Артикул E78205"
"Обои Rasch виниловые 0,53х10,05м 459302",709.00 руб,"Длина рулона:    10,05 м
Тип обоев:    Виниловые на флизелине
Размер рулона:    0,53 м
Производитель:    Rasch
Страна производства:    Германия"
"Обои Аэрин 0,53х10,05м дуплекс Д550-05",250.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
Обои Wall Up 1.06х10.05м 920413,1 785.00 руб,"Характеристики обоев
Коллекция:
WallDecor
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
0"
Обои Elysium 0.53х10.05м 90623,510.00 руб,"Характеристики

Рулонов в коробке    16
Элементы рисунка    Абстракция и геометрия
Способ производства    Вспененный винил
Размер    0,53м x 10,05м
Раппорт    32
Основа    Флизелиновая"
"Обои Rasch виниловые 0,53х10,05м 527230",977.00 руб,"Длина рулона:    10,05 м
Тип обоев:    Виниловые на флизелине
Размер рулона:    0,53 м
Производитель:    Rasch
Страна производства:    Германия"
"Обои VICTORIA STENOVA 1.06х10,05м 989246",1 690.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
"Обои Elysium 1,06х10.05м 18902",1 400.00 руб,"Раппорт/смещение: 64/25
Горячее тиснение, 1,06 х 10м
E260XX, Е261ХХ, Е262ХХ ""Элли"". Артикул E26000"
Обои WallDecor 1.06х10.05м 75065-48,1 555.00 руб,"Характеристики обоев
Коллекция:
WallDecor
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
0"
"Обои Бонжур 0,53х10,05м дуплекс 1041-013п",225.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
Обои VOG Collection 1.06х10.05м 31115-24,1 095.00 руб,"Бренд:VOG Collection
Дизайн:50007-50008
Способ производства: Вспененный винил
Основа: Флизелиновая
Цвета: Розовый
Ширина:1.06
Длина:10.05
Раппорт:0"
"Обои Аллюр 0,53х10,05м дуплекс Д522-04",255.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои ERISMANN Profi Deco 1.06х10,05м 6148-4",1 430.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: цветы
Стиль жилья: классика
Мир жилья: гостиная, спальня
Страна производства: Россия
Упаковка: 6 рул. в коробке"
Обои HomeColor 0.53х10.05м НС11017-17,437.00 руб,"Характеристики
Коллекция:HC11017
Дизайн:HC11017
Артикул:HC11017-17
Ширина:0.53
Длина:10.05
Цвет:Универсальный
Способ производства:Вспененный винил
Бренд:HomeColor
Основа:Бумажная
Упаковка
Рулонов В Коробке:16 штук
Коробок В Паллете:12 штук
Вес Коробки:15.2 кг
Размеры:0.36 x 0.36 x 0.54м"
Обои HomeColor 1.06х10.05м НС71285-22,1 300.00 руб,"Характеристики

Рулонов в коробке    8
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    0
Основа    Флизелиновая"
Обои P&P 1.06х10.05м 71645-61,1 710.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
Стеклообои Константа 50м.кв. W100,2 995.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои Elysium 1,06х10.05м 25701",1 730.00 руб,"Раппорт/смещение: 64/25
Горячее тиснение, 1,06 х 10м
E260XX, Е261ХХ, Е262ХХ ""Элли"". Артикул E26000"
"Обои Аэрин 0,53х10,05м дуплекс Д550-05",250.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои VILIA 1.06х0,53м 1334-11",470.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои ERISMANN Profi Deco 1.06х10,05м 60035-02",1 725.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 4.9 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: орнамент
Стиль жилья: классика
Мир жилья: гостиная, спальня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке"
"Обои Самба 0,53х10,05м дуплекс П329-01",250.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои Rasch виниловые 0,53х10,05м 512984",850.00 руб,"Длина рулона:    10,05 м
Тип обоев:    Виниловые на флизелине
Размер рулона:    0,53 м
Производитель:    Rasch
Страна производства:    Германия"
Обои WallDecor 1.06х10.05м 75097-21,1 820.00 руб,"Характеристики обоев
Коллекция:
WallDecor
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
0"
Клей обойный EXCLUSIVE non-woven pro черный 250г,225.00 руб,"Клей EXCLUSIVE NON-WOVEN PRO – для всех типов обоев на флизелиновой основе, тяжелых виниловых обоев на флизелиновой основе, в том числе флизелиновых обоев под покраску. Обеспечивает максимально прочное приклеивание обоев на все виды поверхностей. Усиленный формула позволяет закреплять полотна больших размеров. При этом гарантируется предотвращение деформирования после высыхания.

К преимуществам клея для флизелиновых обоев EXCLUSIVE NON-WOVEN относятся:

Простота в использовании.
Высокая степень схватывания.
Идеальная скользящая способность — полотна обоев стыкуются безукоризненно.
Возможность долгого хранения в разведенном виде.
Применение добавок, препятствующих появлению грибков и насекомых.
Использование экологически чистых компонентов — безопасен для здоровья человека.
В разведенном виде клей EXCLUSIVENON-WOVEN PRO представляет собой прозрачный раствор, его время приготовления — 10 мин"
"Обои VILIA 1.06х0,53м 1334-11",470.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои ERISMANN Profi Deco 1.06х10,05м 60035-02",1 725.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 4.9 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: орнамент
Стиль жилья: классика
Мир жилья: гостиная, спальня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке"
"Обои Веточка 0,53х10,05м дуплекс Д681-03",236.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои ERISMANN Profi Deco 1.06х10,05м 4565-6",1 385.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: орнамент
Стиль жилья: классика
Мир жилья: гостиная, спальня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке"
"Обои Rasch виниловые 1,06х10,05м 926927",1 515.00 руб,"Длина рулона:    10,05 м
Тип обоев:    Виниловые на флизелине
Размер рулона:    1,06 м
Производитель:    Rasch
Страна производства:    Германия"
"Обои Сальса 0,53х10,05м дуплекс П328-07",235.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои ERISMANN Waves 1.06х10,05м 9402-47",1 990.00 руб,"Цветовая гамма:  Коричневый
Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: тематический
Стиль жилья: флористика
Мир жилья: гостиная, спальня, коридор
Страна производства: Германия
Упаковка: 6 рул. в коробке"
"Обои Elysium 1,06х10.05м 26201",1 470.00 руб,"Раппорт/смещение: 64/25
Горячее тиснение, 1,06 х 10м
E260XX, Е261ХХ, Е262ХХ ""Элли"". Артикул E26000"
"Обои VICTORIA STENOVA 1.06х10,05м 989267",1 750.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
"Обои Rasch виниловые 1,06х10,05м 949728",1 738.00 руб,"Длина рулона:    10,05 м
Тип обоев:    Виниловые на флизелине
Размер рулона:    1,06 м
Производитель:    Rasch
Страна производства:    Германия"
"Обои Бонжур 0,53х10,05м дуплекс 1041-013п",225.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
Обои HomeColor 1.06х10.05м НС31015-16,920.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Вензели
Способ производства    Вспененный винил
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои Elysium 1,06х10.05м 87310",1 400.00 руб,"Раппорт/смещение: 64/0
Горячее тиснение, 1,06 х 10м
E782ХХ, Е783ХХ ""Эбру"" НОВИНКА. Артикул E78205"
"Обои Elysium 1,06х10.05м 26201",1 470.00 руб,"Раппорт/смещение: 64/25
Горячее тиснение, 1,06 х 10м
E260XX, Е261ХХ, Е262ХХ ""Элли"". Артикул E26000"
"Обои Адажио 0,53х10,05м дуплекс Д507-04",235.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
Обои WallDecor 1.06х10.05м 75098-21,1 610.00 руб,"Характеристики обоев
Коллекция:
WallDecor
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
0"
"Обои Полянка 0,53х10,05м дуплекс 1036-020п",205.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои ERISMANN Profi Deco 1.06х10,05м 60135-05",1 565.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: свободная стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: однотонный
Стиль жилья: фон
Мир жилья: гостиная, спальня
Страна производства: Россия
Упаковка: 6 рул. в коробке
Обои компаньоны"
Обои Пермь Бонжур -2 1042-01п,225.00 руб,"Характеристики

Рулонов в коробке    16
Элементы рисунка    Флористика
Способ производства    Вспененный винил
Размер    0,53м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои ERISMANN Profi Deco 1.06х10,05м 3623-6",1 495.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: свободная стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: однотонный
Стиль жилья: фон
Мир жилья: гостиная, спальня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке"
Обои BelVinil 1.06х10.05м Оникс 0325-71,1 045.00 руб,"Строительно-отделочный материал для облицовки стен, устройства перегородок, подвесных потолков, огнезащитных покрытий и конструкций.

КНАУФ-лист огнестойкий (ГСП-DF) представляет собой прямоугольный материал, который состоит из двух слоев специального картона с прослойкой из гипсового теста с армирующими добавками, боковые кромки зафальцовываются краями картона (лицевого слоя). Для формирования сердечника применяется гипсовое вяжущее марки Г4 по ГОСТ 125-79.

КНАУФ-листы огнестойкие (ГСП-DF) выпускаются в соответствии ГОСТ 32614-2012 (EN 520:2009).

КНАУФ-листы огнестойкие (ГСП-DF) оснащены с полукруглой утоненной кромкой (ПЛУК), которая обеспечивает создание надежного и плотного стыка. По согласованию производителя с потребителем возможно изготовление листов с другими видами кромок.

Важный компонент КНАУФ-листа огнестойкого (ГСП-DF) – облицовочный картон, сцепление которого с сердечником обеспечивается за счет применения клеящих добавок. Картон выполняет функцию армирующего каркаса и основы под отделочные материалы для нанесения любого отделочного материала (штукатурка, обои, краска, керамическая плитка и др.). По физическим и гигиеническим свойствам картон идеально подходит для применения в жилых помещениях.
Применение
КНАУФ-лист огнестойкий (ГСП-DF) применяется для устройства легких межкомнатных перегородок, подвесных потолков, облицовки стен и огнезащиты конструкций в зданиях и помещениях с сухим и нормальным влажностными режимами по СНиП 23-02-2003.

Порядок основных монтажных работ:

разметка проектного положения конструкции из КНАУФ-листов огнестойких (ГСП-DF);
установка каркаса из КНАУФ-профиля для крепления КНАУФ-листов огнестойких (ГСП-DF);
монтаж и закрепление КНАУФ-листов огнестойких (ГСП-DF) на каркасе;
заделка швов между КНАУФ-листами огнестойкими (ГСП-DF) и углублений от винтов шпаклевкой КНАУФ-Фуген;
грунтование поверхности под отделочные покрытия.
Рекомендации

Монтаж следует выполнять период проведения отделочных работ (в зимнее время при подключенном отоплении) до устройства чистых полов, когда все «мокрые» процессы закончены и выполнены разводки электротехнических и сантехнических систем, в условиях сухого и нормального влажностного режима согласно СНиП 23-02-2003 «Тепловая защита зданий». При этом температура в помещении не должна быть ниже 10°С.
Перед монтажом КНАУФ-листы огнестойкие (ГСП-DF) должны пройти обязательную акклиматизацию (адаптацию) в помещении.
Торцевые кромки КНАУФ-листов огнестойких (ГСП-DF) имеют прямоугольную форму, при устройстве шва с них необходимо снимать фаску (примерно на 1/3 толщины листа).
Преимущества
Изделия обладают повышенной огнестойкостью.
При использовании КНАУФ-листов огнестойких (ГСП-DF) в процессе отделочных работ исключаются «мокрые» процессы.
Увеличивается производительность труда.
Предоставляется возможность реализации неограниченных по замыслу многовариантных архитектурных решений, включая устройство криволинейных поверхностей.
Достигается общая экономия затрат на строительство за счет облегчения конструкции здания.
Обеспечивается не только экологическая чистота, но и благоприятный для человека микроклимат в помещении.
КНАУФ-листы огнестойкие (ГСП-DF) «дышат», регулируют уровень влажности в помещении.
Материал не содержит токсичных компонентов и имеет кислотность, аналогичную кислотности человеческой кожи.
Изделия соответствуют строгим мировым стандартам.
Технические характеристики
Цвет картона на лицевой стороне / на тыльной стороне: розовый/серый;
цвет маркировки: черный;
вид кромки: ПЛУК полукруглая утоненная кромка;
размеры: 2500х1200х12,5 мм;
масса КНАУФ-листа огнестойкого (ГСП-DF) размером 2500х1200х12,5 мм (3 кв.м): 30,6 кг;
упаковка: пакет, 50 листов (150 м2).
Номинальные геометрические размеры КНАУФ-листов:

длина: от 2000 до 4000 мм;
ширина: 600, 1200 мм;
толщина: 12,5; 14; 16 мм.
Пожарно-технические характеристики

КНАУФ-листы огнестойкие (ГСП-DF) относятся к группам:

Г1 (горючесть по ГОСТ 30244);
В2 (воспламеняемость по ГОСТ 30402);
Д1 (дымообразующая способность по ГОСТ 12.1.044);
Т1 (токсичность по ГОСТ 12.1.044)."
Обои P&P 1.06х10.05м 71646-14,1 620.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    64
Основа    Флизелиновая"
"Обои ERISMANN Waves 1.06х10,05м 9400-47",1 990.00 руб,"Цветовая гамма:  Коричневый
Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 32 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: тематический
Стиль жилья: модерн
Мир жилья: гостиная, спальня, коридор
Страна производства: Германия
Упаковка: 6 рул. в коробке"
"Обои Bravo 1.06х10,05м 86005BR91",935.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: орнамент
Стиль жилья: классика
Мир жилья: гостиная, спальня
Страна производства: Россия
Упаковка: 6 рул. в коробк"
Обои A.S. Creation 1.06х10.05м 3708-15,2 445.00 руб,"Характеристики обоев
Коллекция:
АСПЕКТ
Основа:
Флизелиновая
Тип:
Горячее тиснение
Размер:
1,06 x 10,05
Раппорт:
16"
"Обои Bravo 1.06х10,05м 168324-19",1 600.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: орнамент
Стиль жилья: классика
Мир жилья: гостиная, спальня
Страна производства: Россия
Упаковка: 6 рул. в коробк"
Обои HomeColor 1.06х10.05м НС71491-44,1 160.00 руб,"Коллекция
Echo
Бренд
HomeColor
Артикул
HC71491
Раппорт
11
Основа
Флизелиновая
Ширина рулона
1,06м
Рулонов в коробке
8
Стиль артикула
Современный
Способ производства
Горячее тиснение
Элементы рисунка
Абстракция и геометрия"
Обои AS Палитра 0.53х10.05м 10075-45,415.00 руб,"Характеристики обоев
Коллекция:
А. С. И Палитра
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
32"
Обои Палитра 1.06х10.05м PL71242-14,1 345.00 руб,"Характеристики

Рулонов в коробке    6
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Основа    Флизелиновая"
Обои AS Палитра 1.06х10.05м 70238-68,1 385.00 руб,"Характеристики обоев
Коллекция:
АСПЕКТ
Основа:
Флизелиновая
Тип:
Горячее тиснение
Размер:
1,06 x 10,05
Раппорт:
64"
Обои HomeColor 1.06х10.05м 727-24,1 155.00 руб,"Рулонов в коробке    8
Элементы рисунка    Ромбы
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Основа    Флизелиновая"
Обои VOG Collection 1.06х10.05м VV71263-85,1 485.00 руб,"Характеристики
Коллекция:VV71263-VV71264
Дизайн:VV71263
Артикул:VV71263-45
Ширина:1.06
Длина:10.05
Цвет:Универсальный
Способ производства:Горячее тиснение
Бренд:VOG Collection
Основа:Флизелиновая
Упаковка
Рулонов В Коробке:6 штук
Коробок В Паллете:16 штук
Вес Коробки:14.7 кг
Размеры:0.3 x 0.2 x 1.07м"
"Обои ERISMANN Waves 1.06х10,05м 9402-37",1 990.00 руб,"Цветовая гамма:  Бежевый     Серый     Красный
Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: тематический
Стиль жилья: флористика
Мир жилья: гостиная, спальня, коридор
Страна производства: Германия
Упаковка: 6 рул. в коробке"
"Обои Бон вояж 0,53х10,05м дуплекс Д615-06",200.00 руб,"Обои «дуплекс» С6 – обои, печатные офсетными красками на двухслойной склеенной бумаге с перламутровым покрытием и тиснением в рисунок. Обладают хорошей рельефностью, повышенной плотностью, превосходно скрывают неровности стен. Обои успешно конкурируют с виниловыми обоями по декоративным качествам, значительно «уступая» им по цене."
"Обои Elysium 1,06х10.05м 300301",1 625.00 руб,"Раппорт/смещение: 64/0
Горячее тиснение, 1,06 х 10м
E782ХХ, Е783ХХ ""Эбру"" НОВИНКА. Артикул E78205"
"Обои Elysium 1,06х10.05м 34800",1 210.00 руб,"Характеристики

Рулонов в коробке    16
Элементы рисунка    Абстракция и геометрия
Способ производства    Вспененный винил
Размер    0,53м x 10,05м
Раппорт    32
Основа    Флизелиновая"
"Обои ERISMANN Profi Deco 1.06х10,05м 60056-05",1 710.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 4.9 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: орнамент
Стиль жилья: классика
Мир жилья: гостиная, спальня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке"
"Обои VICTORIA STENOVA 1.06х10,05м 989098",1 900.00 руб,"Виниловые обои на флизелиновой основе, 1,06*10,05 м"
Обои WallDecor 0.53х10.05м 85003-14,585.00 руб,"Характеристики обоев
Коллекция:
WallDecor
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
0"
Обои A.S. Creation 1.06х10.05м 37426-4,2 080.00 руб,"Характеристики обоев
Коллекция:
АСПЕКТ
Основа:
Флизелиновая
Тип:
Горячее тиснение
Размер:
1,06 x 10,05
Раппорт:
16"
"Обои Rasch виниловые 1,06х10,05м 955101",1 548.00 руб,"Длина рулона:    10,05 м
Тип обоев:    Виниловые на флизелине
Размер рулона:    1,06 м
Производитель:    Rasch
Страна производства:    Германия"
"Обои ERISMANN Profi Deco 1.06х10,05м 4551-3",1 755.00 руб,"Цветовая гамма:  Бежевый
Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: свободная стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: однотонный
Стиль жилья: фон
Мир жилья: гостиная, спальня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке"
Обои HomeColor 1.06х10.05м НС71244-28,1 160.00 руб,"Рулонов в коробке    8
Элементы рисунка    Фон
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Раппорт    0
Основа    Флизелиновая"
"Обои ERISMANN Sonata 1.06х10,05м 4385-8",1 560.00 руб,"Цветовая гамма:  Бордо
Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 21 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: однотонный
Стиль жилья: фон
Мир жилья: гостиная, спальня, коридор
Страна производства: Россия
Упаковка: 6 рул. в коробке"
"Обои Elysium 1,06х10.05м 87310",1 400.00 руб,"Раппорт/смещение: 64/0
Горячее тиснение, 1,06 х 10м
E782ХХ, Е783ХХ ""Эбру"" НОВИНКА. Артикул E78205"
"Обои Bravo 1.06х10,05м 86006BR94",980.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: 64 см, прямая стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: орнамент
Стиль жилья: классика
Мир жилья: гостиная, спальня
Страна производства: Россия
Упаковка: 6 рул. в коробк"
Обои Wall Up 1.06х10.05м 920321,1 775.00 руб,"Характеристики обоев
Коллекция:
WallDecor
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
0"
Обои HomeColor 1.06х10.05м НС71381-66,1 160.00 руб,"Характеристики

Рулонов в коробке    8
Элементы рисунка    Абстракция и геометрия
Способ производства    Горячее тиснение
Размер    1,06м x 10,05м
Основа    Флизелиновая"
"Обои Elysium 1,06х10.05м 300301",1 625.00 руб,"Раппорт/смещение: 64/0
Горячее тиснение, 1,06 х 10м
E782ХХ, Е783ХХ ""Эбру"" НОВИНКА. Артикул E78205"
Обои WallDecor 1.06х10.05м 75065-24,1 555.00 руб,"Характеристики обоев
Коллекция:
WallDecor
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
0"
Клей обойный EXCLUSIVE non-woven pro черный 250г,225.00 руб,"Клей EXCLUSIVE NON-WOVEN PRO – для всех типов обоев на флизелиновой основе, тяжелых виниловых обоев на флизелиновой основе, в том числе флизелиновых обоев под покраску. Обеспечивает максимально прочное приклеивание обоев на все виды поверхностей. Усиленный формула позволяет закреплять полотна больших размеров. При этом гарантируется предотвращение деформирования после высыхания.

К преимуществам клея для флизелиновых обоев EXCLUSIVE NON-WOVEN относятся:

Простота в использовании.
Высокая степень схватывания.
Идеальная скользящая способность — полотна обоев стыкуются безукоризненно.
Возможность долгого хранения в разведенном виде.
Применение добавок, препятствующих появлению грибков и насекомых.
Использование экологически чистых компонентов — безопасен для здоровья человека.
В разведенном виде клей EXCLUSIVENON-WOVEN PRO представляет собой прозрачный раствор, его время приготовления — 10 мин"
Обои Wall Up 1.06х10.05м 920321,1 775.00 руб,"Характеристики обоев
Коллекция:
WallDecor
Основа:
Бумажная
Тип:
Вспененный винил
Размер:
0,53 x 10,05
Раппорт:
0"
Обои BelVinil 1.06х10.05м Оникс 0325-91,980.00 руб,"Пистолеты STAYER для монтажной пены
Для работы с монтажной пеной в баллонах
Пистолеты предназначены для точной подачи и дозации профессиональной монтажной пены при установке окон, дверей и других элементов строительных конструкций.
Облегченный корпус; регулятор подачи пены, латунный игольчатый клапан"
"Обои ERISMANN Profi Deco 1.06х10,05м 60133-06",1 385.00 руб,"Ширина рулона: 1,06м
Длина рулона: 10,05м
Раппорт: свободная стыковка
Материал: флизелиновые обои
Тип обоев: горячее тиснение
Тип рисунка: однотонный
Стиль жилья: фон
Мир жилья: гостиная, спальня
Страна производства: Россия
Упаковка: 6 рул. в коробке
Обои компаньоны"
"Обои Elysium 1,06х10.05м 78203",1 670.00 руб,"Раппорт/смещение: 64/0
Горячее тиснение, 1,06 х 10м
E782ХХ, Е783ХХ ""Эбру"" НОВИНКА. Артикул E78205"
